text	start	duration	sequence_id	sentence
Is	8.286	0.040000000000000924	0	 Is that wrong?
that	8.346	0.17999999999999972	0	 Is that wrong?
wrong?	8.566	0.3199999999999985	0	 Is that wrong?
I've	10.307	0.14100000000000001	1	I've waited years.
waited	10.488	0.3000000000000007	1	I've waited years.
years.	10.848	0.29999999999999893	1	I've waited years.
How	13.09	0.27999999999999936	2	How many years?
many	13.67	0.22000000000000064	2	How many years?
years?	13.93	0.2599999999999998	2	How many years?
By	16.672	0.14000000000000057	3	By now it must be...
now	16.852	0.14000000000000057	3	By now it must be...
it	17.032	0.05999999999999872	3	By now it must be...
must	17.152	0.2010000000000005	3	By now it must be...
be...	17.433	0.1999999999999993	3	By now it must be...
It's	17.853	0.4799999999999969	4	It's 23 years.
23	18.533	0.12099999999999866	4	It's 23 years.
years.	18.734	0.33999999999999986	4	It's 23 years.
Four	19.794	0.26099999999999923	5	Four months, eight days.
months,	20.115	0.28000000000000114	5	Four months, eight days.
eight	20.515	0.14000000000000057	5	Four months, eight days.
days.	20.675	0.259999999999998	5	Four months, eight days.
Doyle?	25.979	0.3200000000000003	6	Doyle?
But	33.384	0.1599999999999966	7	But I was prepared.
I	33.584	0.05999999999999517	7	But I was prepared.
was	33.684	0.12100000000000222	7	But I was prepared.
prepared.	34.085	0.5399999999999991	7	But I was prepared.
I	34.745	0.10000000000000142	8	I knew.
knew.	34.945	0.2610000000000028	8	I knew.
The	35.486	0.14000000000000057	9	The theory, I knew.
theory,	35.706	0.4199999999999946	9	The theory, I knew.
I	36.226	0.0799999999999983	9	The theory, I knew.
knew.	36.326	0.4410000000000025	9	The theory, I knew.
And	40.27	0.0799999999999983	10	 And Miller.
Miller.	40.41	0.3400000000000034	10	 And Miller.
There's	42.952	0.20000000000000284	11	There's nothing here for us.
nothing	43.172	0.22000000000000597	11	There's nothing here for us.
here	43.432	0.14000000000000057	11	There's nothing here for us.
for	43.592	0.14000000000000057	11	There's nothing here for us.
us.	43.812	0.10000000000000142	11	There's nothing here for us.
Why	47.954	0.2010000000000005	12	Why didn't you sleep?
didn't	48.175	0.1600000000000037	12	Why didn't you sleep?
